,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
89,89,1.2698683480000028,151.0,18109.0,200,0.7,2048
90,90,1.28434910899999,151.0,18310.0,200,0.7,2048
91,91,1.2978893840000012,152.0,18512.0,200,0.7,2048
92,92,1.3127811379999912,152.0,18713.0,200,0.7,2048
93,93,1.3274679709999901,154.0,18915.0,200,0.7,2048
94,94,1.3406934579999898,154.0,19116.0,200,0.7,2048
95,95,1.3533698359999988,159.0,19318.0,200,0.7,2048
96,96,1.3662471760000017,159.0,19519.0,200,0.7,2048
97,97,1.3808309890000032,159.0,19720.0,200,0.7,2048
98,98,1.3945358459999966,159.0,19921.0,200,0.7,2048
99,99,1.4074782819999996,159.0,20122.0,200,0.7,2048
100,100,1.4200016810000022,159.0,20323.0,200,0.7,2048
101,101,1.4327475799999974,166.0,20525.0,200,0.7,2048
